ano,sigla_uf,sexo,grau_instrucao,admissoes,desligamentos,saldo,salario_medio,total_movimentacoes
2017,PB,1,5.0,5817,6460,-643,1139.8576114953687,12277
2017,PB,1,6.0,4853,5170,-317,1087.0580597269336,10023
2017,PB,1,7.0,31912,31649,263,1138.908841363522,63561
2017,PB,1,8.0,1794,1796,-2,1376.8065638037217,3590
2017,PB,1,9.0,3465,2956,509,2345.732777411712,6421
2017,PB,2,1.0,25,25,0,918.3617283950617,50
2017,PB,2,2.0,176,165,11,982.2954271502471,341
2017,PB,2,3.0,234,251,-17,973.863620092568,485
2017,PB,2,4.0,513,645,-132,972.3334213775405,1158
2017,PB,2,5.0,938,1069,-131,1017.0319248990648,2007
2017,PB,2,6.0,1313,1402,-89,928.841768523932,2715
2017,PB,2,7.0,16638,17945,-1307,1029.26702754852,34583
2017,PB,2,8.0,1782,1725,57,1174.7985278467322,3507
2017,PB,2,9.0,4569,3701,868,1708.3301289280394,8270
2017,PE,1,1.0,4042,4790,-748,974.9868948118367,8832
2017,PE,1,2.0,20116,20849,-733,1057.1240630772493,40965
2017,PE,1,3.0,7628,9152,-1524,1099.4583002817303,16780
2017,PE,1,4.0,13884,15755,-1871,1161.6151287212012,29639
2017,PE,1,5.0,16059,17567,-1508,1210.9359661561682,33626
2017,PE,1,6.0,12702,13882,-1180,1136.2750992865983,26584
2017,PE,1,7.0,105471,100932,4539,1291.6389893703556,206403
2017,PE,1,8.0,4159,4293,-134,1753.0591508157702,8452
2017,PE,1,9.0,11077,10566,511,3269.490682548992,21643
2017,PE,2,1.0,264,352,-88,966.7045450920775,616
2017,PE,2,2.0,2002,2257,-255,978.3556833759267,4259
2017,PE,2,3.0,1381,1474,-93,980.031969783052,2855
